Year,Month,Revenue,Expenses,Gross_Profit,Net_Profit,Quick_Ratio,Current_Ratio
2000,Jan,4285412,3576217,709195,425517,2.23,2.43
2000,Feb,4510985,3744023,766962,460177,2.06,2.26
2000,Mar,4617357,3381392,1235965,741579,1.66,1.86
2000,Apr,4508874,3613280,895594,537356,2.36,2.56
2000,May,4097363,3775973,321390,192834,2.46,2.66
2000,Jun,4197113,3572507,624606,374763,1.77,1.97
2000,Jul,3869953,3531258,338695,203217,2.42,2.62
2000,Aug,3623372,2904141,719231,431538,1.84,2.04
2000,Sep,3928920,2863062,1065858,639514,2.22,2.42
2000,Oct,3423877,3087568,336309,201785,2.35,2.55
2000,Nov,3389817,3151624,238193,142915,1.12,1.32
2000,Dec,3429342,3275932,153410,92046,1.81,2.01
2001,Jan,4595314,3371482,1223832,734299,2.33,2.53
2001,Feb,4848982,3941234,907748,544648,2.06,2.26
2001,Mar,4867148,3517790,1349358,809614,1.92,2.12
2001,Apr,4404516,4131246,273270,163962,1.53,1.73
2001,May,4218239,3571171,647068,388240,2.0,2.2
2001,Jun,4461362,3470165,991197,594718,2.48,2.68
2001,Jul,4366116,3477885,888231,532938,2.2,2.4
2001,Aug,3792627,3223817,568810,341286,1.61,1.81
2001,Sep,3697311,3433678,263633,158179,1.29,1.49
2001,Oct,4085206,3433625,651581,390948,1.27,1.47
2001,Nov,4095064,3488784,606280,363768,2.2,2.4
2001,Dec,4162599,3295906,866693,520015,1.1,1.3
2002,Jan,4634969,4037725,597244,358346,2.28,2.48
2002,Feb,5080674,4198948,881726,529035,1.15,1.35
2002,Mar,4364395,3790884,573511,344106,1.61,1.81
2002,Apr,4466081,4138082,327999,196799,1.41,1.61
2002,May,4894891,4320763,574128,344476,1.31,1.51
2002,Jun,4797066,4141408,655658,393394,1.78,1.98
2002,Jul,4369213,3406416,962797,577678,1.59,1.79
2002,Aug,3887559,3524597,362962,217777,1.51,1.71
2002,Sep,4129292,3667827,461465,276879,2.36,2.56
2002,Oct,4227356,3162211,1065145,639087,2.19,2.39
2002,Nov,4381403,3637072,744331,446598,1.66,1.86
2002,Dec,4295406,3650366,645040,387024,2.02,2.22
2003,Jan,4160388,3989640,170748,102448,2.0,2.2
2003,Feb,5165643,4229104,936539,561923,2.12,2.32
2003,Mar,5069440,4307461,761979,457187,2.25,2.45
2003,Apr,4562425,3772358,790067,474040,1.29,1.49
2003,May,5492264,4234370,1257894,754736,1.25,1.45
2003,Jun,5097717,3698743,1398974,839384,2.09,2.29
